review_id,token_count
44537218,641
44536451,623
44532959,623
44525303,619
44522083,618
44517437,613
44517423,626
44512891,619
44490308,622
44484940,613
44475749,613
44471174,627
42881638,645
44466854,621
44145371,607
44142243,593
44141165,655
44136482,614
44133691,591
44133289,592
44126868,592
44126100,593
44123723,581
44123692,600
44123036,592
44112790,593
44106152,563
44105325,591
44103890,579
43643916,616
43690553,593
43688731,590
43686575,577
43684763,563
43681189,607
43679560,589
43671248,590
43670673,588
43669858,581
43669790,573
43668853,588
43668620,587
43667712,592
43667551,587
42886971,561
42882999,561
42867219,561
42857958,561
42845687,561
42825073,561
42813113,661
37677231,590
42809234,561
42808846,575
31088120,575
42785710,572
42781034,561
42092915,575
42776233,589
42217708,646
42193638,561
42192526,572
42191225,595
42187298,593
42178089,601
42154678,561
42149163,592
42123743,583
42089181,580
42066843,561
42039245,587
42036003,593
42032243,561
42012993,656
40486239,601
40487004,644
40474286,600
40473853,563
40475482,640
40477421,563
40481454,563
40481071,563
40481066,563
40467247,583
40469451,580
40468160,578
40473366,563
40466212,563
40458823,563
40447825,578
38257106,670
38254097,596
38238777,573
38223071,581
38214272,616
38203639,559
38198835,572
38178604,588
38154309,592
38145312,608
35385189,604
38127277,570
38125706,559
38115624,590
38102290,568
37047970,603
37903275,637
37897057,561
37896184,577
37895422,578
37895131,601
37895013,609
37893140,561
37892394,561
37891676,597
37880155,605
37879077,598
37878723,613
37871937,621
37871563,561
37309215,609
37305269,583
37293897,596
37281230,578
37275458,590
37270737,598
37270230,561
37270148,596
37270046,589
37256332,629
37254491,577
37223121,596
37215846,613
37210900,579
37197362,561
36829104,706
34259174,723
36820914,689
36820913,676
36820066,685
36819790,693
36818422,681
36800175,682
36780561,676
36772973,676
36772626,676
36772196,677
36771421,687
35183335,644
36324802,563
36323013,633
36316207,582
36304191,563
35484559,627
36291302,593
36287917,612
36287536,572
36285911,602
36278421,653
36273874,588
36255847,580
36232739,603
36232697,596
36063737,563
36060941,563
36059801,580
36058698,574
36056449,583
36038443,580
36037821,567
36036744,585
36032372,563
36019554,563
36017816,563
36017053,580
36012871,563
36006463,563
36005130,584
35996910,563
35760462,581
35759237,582
35757163,579
35755559,600
35752388,567
35747709,592
35746779,563
35742616,606
35741620,563
35739758,584
35739293,583
35732686,563
35731975,580
35727477,563
35725973,563
35724445,563
35585701,596
35226912,579
35578166,561
35578072,574
35577583,601
35577239,571
35577176,561
35576918,591
35575382,573
35574210,561
35574133,561
35571798,561
35570305,581
35570119,573
35568003,566
35567801,585
35544754,572
35542902,571
35542892,572
35542689,576
35542498,571
35541497,576
35343756,579
35344513,574
35537423,569
35537265,574
35536817,628
35536463,568
35534728,586
35392591,582
35533198,566
35527928,581
35485420,625
35485416,567
35485407,584
35485383,572
35485380,568
35485361,573
35485341,582
35485310,563
35485300,563
35485281,568
35485270,566
35485264,598
35485247,595
35485235,563
35485231,566
35485214,566
35483737,563
35483734,563
35483720,563
35483711,563
35483697,609
35483695,563
35483690,563
35483679,611
35483678,563
35483674,563
35483673,606
35483670,604
35483657,632
35483655,563
35483645,567
35483638,563
35482533,563
35482530,563
35482529,563
35482528,580
35482521,576
35482510,563
35482504,563
35482494,563
35482484,585
35482482,563
35482480,570
35482471,563
35482464,569
35482460,615
35482461,611
35482402,563
35481941,570
35481937,574
35481936,563
35481934,579
35481932,563
35481931,563
35481930,563
35481929,603
35481927,595
35481926,591
35481923,563
35481922,578
35481920,603
35481919,563
35481918,563
35481917,563
35269026,651
35480264,643
35480118,598
35480071,561
35480028,589
35479989,569
35479661,570
35479487,561
34613056,561
35479271,605
35479242,572
35479243,561
35479241,605
35479178,594
35476396,579
35337822,584
35337577,573
35333542,568
35333001,571
35332389,569
35332329,597
34249632,581
35330419,572
35328003,572
35326832,570
35324976,574
35324622,576
35324308,563
35322989,563
35321253,573
35319925,567
34590398,563
35250538,576
35250470,576
35249241,563
35245893,607
35242951,563
35242386,573
35240390,563
35236917,574
35234659,578
35233941,563
35230554,596
35230317,563
35230117,582
35225931,569
35223955,569
35110374,563
35110213,563
34832094,563
35109766,563
35109657,563
35109592,563
35108948,563
35107834,586
35107821,563
35107467,563
35043597,563
35107134,563
35046101,563
35106283,563
34604926,563
35105110,591
35031129,590
35029391,648
35027571,572
35026085,608
35021530,602
35020465,624
35019478,621
35018794,622
35018412,614
35018244,612
35010409,563
35009188,624
35008479,619
35007628,572
35007391,626
34905194,563
34900338,563
34899817,563
34899675,592
34899034,579
34897904,579
34592846,563
34893560,576
34890836,627
34890445,578
34890291,619
34889885,581
34889553,578
34569863,576
34884078,581
34825173,686
34543886,660
34529583,660
34823385,651
34822723,677
34822666,655
34822389,651
34822136,653
34822094,662
30397948,665
34821877,664
34821777,655
34821581,653
34755907,569
34755436,611
34754408,563
34752449,563
34750778,575
34750397,563
34749290,612
34747971,620
34747651,594
34746683,585
34746337,600
34745208,563
34744140,563
34740654,616
34739197,583
34711062,563
31737727,654
34708202,588
34706616,572
34706326,607
34705322,595
34704836,588
34704766,567
34700910,563
34700751,605
34697787,605
34696651,576
34696601,563
34695861,597
34695701,601
34649749,563
34649411,600
34649183,563
34648744,601
34648645,605
34647530,579
34647476,598
34647172,612
34646801,596
34646764,598
34646505,578
34644581,587
34643921,565
34643496,578
34540864,597
34610918,563
34610433,563
34610424,563
34610110,577
34609998,616
34609941,576
34609029,592
34609018,579
34549596,563
34608193,563
34608149,584
34607947,563
34607937,597
34607755,616
34607486,563
34594473,596
34594455,577
34594420,573
34594418,573
34594414,567
34594394,563
34594311,586
34594269,563
34594187,576
34594128,563
34594155,563
34594117,563
34594075,563
34594063,581
34594057,563
34593987,606
34585348,561
34585289,561
34585230,561
34584851,561
34584803,561
34584750,595
34584630,561
34584617,605
34584568,626
34584519,597
34584066,561
34584053,572
34583873,561
34583862,582
34583835,561
34583752,585
34573489,631
34573435,609
34573412,617
34573358,610
34573353,581
34573315,559
34573311,595
34573217,592
34573205,559
34573167,573
34573144,569
34573055,596
34572979,571
34572919,594
34572724,567
34567603,563
34567551,563
34567470,563
34567353,563
34567306,563
34567166,599
34447654,631
34566868,563
34566534,563
34566529,563
34566419,563
34566417,631
34566013,631
34424233,563
33953383,583
34565413,563
