,review_id,token_count
0,44455300,12
1,44454543,17
2,44443894,42
3,44442712,72
4,44439686,29
5,44439228,79
6,44437437,63
7,44436533,49
8,44428538,56
9,44427551,66
10,44421749,73
11,44420592,29
12,36088428,194
13,44415901,59
14,44414734,25
15,44411377,21
16,44409309,192
17,44403061,27
18,44402934,28
19,44399080,68
20,44398186,23
21,44396779,15
22,44390304,70
23,44385680,47
24,44385162,191
25,44383692,124
26,44381154,74
27,44381000,65
28,44370730,29
29,44368923,71
30,44366903,66
31,44363382,35
32,44359127,67
33,44355222,39
34,44350547,68
35,35739757,44
36,44348337,59
37,44340342,65
38,44340922,22
39,44338267,38
40,44335577,17
41,44331803,59
42,44328228,70
43,44318949,76
44,44318463,67
45,44312289,59
46,44311109,62
47,44304588,90
48,44304306,57
49,44303639,63
50,44302974,367
51,44296890,64
52,44294208,14
53,44286494,69
54,44285802,69
55,44284368,17
56,44279144,33
57,44278603,18
58,44274471,182
59,44275210,63
60,44274657,59
61,44272380,25
62,44268443,61
63,44258499,61
64,44256808,60
65,44256247,41
66,44254618,16
67,44254075,13
68,44251714,38
69,44251251,15
70,44248872,58
71,44241801,62
72,44240175,64
73,44237907,33
74,44236747,30
75,44233159,51
76,44227064,108
77,44222285,71
78,44200469,58
79,44200347,27
80,44199561,76
81,44194260,48
82,44194228,15
83,44192502,34
84,44190126,9
85,44189868,65
86,44180773,127
87,44176463,47
88,44175736,17
89,44168256,65
90,44155333,66
91,44167438,59
92,44167119,74
93,44162914,40
94,44154122,61
95,44152157,11
96,44149886,20
97,44132112,60
98,44146363,52
99,44103792,21
100,43899887,41
101,44090402,55
102,44086631,70
103,44084161,188
104,44083804,21
105,44079517,20
106,44078194,70
107,44072506,37
108,44067241,27
109,44067222,57
110,44058420,185
111,44047443,18
112,44045871,35
113,44041556,151
114,44033970,70
115,44023320,65
116,44014665,55
117,44013678,49
118,44008882,22
119,43998113,428
120,43986015,66
121,43984983,55
122,41113345,29
123,43965263,68
124,43967732,22
125,43959014,24
126,43957612,23
127,43944668,47
128,43953857,49
129,43948282,20
130,43947711,57
131,43939281,30
132,43936772,24
133,43928360,37
134,43927281,50
135,43921196,35
136,43920383,37
137,43919607,64
138,43914443,17
139,43909501,12
140,43908596,56
141,43908018,62
142,43907204,45
143,43905336,9
144,43892494,51
145,43891581,64
146,43888798,44
147,43886628,63
148,43886247,63
149,43885859,61
150,43883816,18
151,43881055,48
152,43876312,9
153,43873817,14
154,43872216,60
155,43871899,100
156,43870108,18
157,43870046,89
158,43857225,59
159,43852723,254
160,43846628,14
161,43842188,78
162,43839620,76
163,43838297,33
164,43669970,68
165,43832140,56
166,43831226,46
167,43824096,55
168,43821082,45
169,43817320,23
170,43789303,38
171,35049588,238
172,43785051,50
173,43784759,54
174,43782636,72
175,43775421,359
176,43763432,16
177,43755975,14
178,43745338,15
179,43744922,71
180,34707530,301
181,43744459,50
182,43734836,74
183,43732451,64
184,43710499,55
185,43711745,44
186,43667419,18
187,43667289,42
188,43667253,79
189,43667237,56
190,43646370,12
191,43667162,42
192,43667153,25
193,43667147,93
194,43667138,121
195,43667137,87
196,43667104,35
197,43667091,38
198,43667090,89
199,43667069,40
200,43667067,40
201,43667065,16
202,43667061,37
203,43667048,95
204,43667022,58
205,43666994,17
206,43666991,38
207,43666979,51
208,43666975,97
209,43666963,54
210,43666946,24
211,43666939,21
212,43666929,22
213,43666918,26
214,24288527,65
215,43666890,25
216,43664131,32
217,43654954,51
218,43652555,15
219,42797514,27
220,43652079,15
221,43646409,31
222,34024840,77
223,23932408,265
224,43627832,51
225,43627767,44
226,43636099,29
227,43629172,53
228,43629081,18
229,43627804,14
230,43617846,50
231,43626729,14
232,43619202,41
233,43609241,18
234,43609228,48
235,43609223,60
236,43609195,93
237,43609170,12
238,43609162,24
239,43609136,62
240,43609124,24
241,43608348,346
242,43607573,135
243,43607069,36
244,43604427,92
245,43604153,33
246,43596776,137
247,43599472,26
248,43595554,12
249,43591222,79
250,43576736,228
251,43590872,36
252,43589727,16
253,43589488,20
254,43586561,41
255,43585598,23
256,43585276,19
257,43584290,66
258,43583784,9
259,43580348,17
260,43579620,69
261,43577611,20
262,43577509,40
263,43577111,47
264,43575013,18
265,34124641,123
266,43574654,17
267,43568598,20
268,43564034,12
269,43560798,55
270,43560307,56
271,43559863,43
272,43556616,21
273,43488740,71
274,43477836,16
275,43475738,89
276,43453168,43
277,43322620,211
278,43288001,13
279,43285439,54
280,43237975,21
281,43202561,63
282,43200778,26
283,43199948,22
284,43189934,19
285,43188737,17
286,43187763,53
287,43185628,57
288,43135706,9
289,43108901,22
290,43080591,93
291,43076820,12
292,43052466,30
293,43037650,21
294,41898518,58
295,43019789,26
296,42910191,45
297,42897528,37
298,42745918,53
299,36003423,907
300,42748878,10
301,42741781,42
302,42738247,19
303,42727067,17
304,42724221,11
305,42718348,20
306,42715049,14
307,42708722,13
308,42705785,52
309,42695444,71
310,42699187,17
311,42678531,20
312,42677423,30
313,42676812,30
314,42676747,13
315,42676736,21
316,42676668,89
317,42676424,15
318,42676391,19
319,42657383,10
320,42644097,69
321,42643620,279
322,42620047,11
323,42614894,16
324,42608641,14
325,41740248,18
326,42596713,10
327,42593185,93
328,42571222,373
329,42547589,9
330,42511103,17
331,42510266,17
332,42508447,44
333,42501467,42
334,34782345,672
335,42485425,48
336,42487431,122
337,42480611,55
338,42478435,75
339,42422420,14
340,42402547,64
341,42401154,747
342,42394928,245
343,42371344,16
344,35085132,23
345,42338126,19
346,42331551,16
347,42331385,18
348,42330241,48
349,42314674,62
350,42313773,57
351,42314760,60
352,42305261,51
353,42312989,13
354,42312323,17
355,42311020,25
356,42310938,18
357,42297222,205
358,42280757,64
359,42274938,54
360,42265243,101
361,42267487,17
362,42244533,408
363,42232413,9
364,42221254,80
365,42218218,64
366,41998607,10
367,41996817,38
368,41994678,19
369,41962584,130
370,41957976,73
371,41957422,9
372,41954849,15
373,41892868,38
374,41846040,18
375,41821713,84
376,41807627,41
377,41736413,40
378,41453538,10
379,41453009,38
380,41351451,43
381,34624729,73
382,41181941,80
383,41155034,28
384,41154962,69
385,39605805,99
386,41120744,50
387,41117826,61
388,41080805,53
389,41068864,55
390,41059298,20
391,41046816,189
392,41029989,25
393,41020165,39
394,40977801,57
395,35015251,28
396,40886768,52
397,40876529,25
398,40815719,97
399,40813100,59
400,40804188,45
401,40796823,72
402,40793903,57
403,40797772,66
404,40773156,99
405,40776231,48
406,40778758,61
407,40773486,101
408,40765671,33
409,40764020,88
410,40708212,66
411,40704192,52
412,40685201,68
413,40695642,155
414,40647903,82
415,40633003,89
416,40623771,79
417,40618094,59
418,40621408,47
419,40601168,50
420,40603941,110
421,40559530,52
422,40554561,85
423,40548274,27
424,40541650,72
425,40537215,57
426,40533414,75
427,40521032,50
428,40528856,73
429,40523191,77
430,40524423,57
431,40520702,78
432,40519904,95
433,40515036,124
434,40513215,100
435,40512076,121
436,40501509,90
437,40509513,126
438,40504241,75
439,40505301,76
440,40508255,224
441,40495722,98
442,40501082,75
443,40492928,99
444,40502453,59
445,40491237,83
446,40494622,76
447,40492226,83
448,40493148,99
449,40496157,35
450,40484652,49
